Zip,Lat,Long
1801,42.4884618,-71.1329685
1803,42.5005723,-71.2042619
1880,42.5010123,-71.067605
1901,42.4602394,-70.9472496
1906,42.4681642,-71.014118
1945,42.4963567,-70.8476708
1960,42.5357932,-70.9665682
2026,42.2494514,-71.1804988
2043,42.2271881,-70.8833434
2045,42.3016073,-70.9011786
2066,42.1950224,-70.7525299
2090,42.2211351,-71.2102024
2108,42.3548561,-71.0661193
2109,42.3660616,-71.0482911
2110,42.3613114,-71.0482911
2111,42.3514653,-71.0601767
2113,42.3654231,-71.0549768
2114,42.3652917,-71.0646337
2115,42.339904,-71.0898892
2116,42.353068,-71.0765188
2118,42.3377967,-71.0705763
2119,42.3218236,-71.0884036
2120,42.3319167,-71.0988025
2121,42.3065441,-71.0824613
2122,42.2967146,-71.0527482
2124,42.2826027,-71.067605
2125,42.3157363,-71.0527482
2126,42.2771417,-71.0913748
2127,42.3364553,-71.0349193
2128,42.3695431,-71.0200613
2129,42.3795409,-71.0646337
2130,42.3097365,-71.1151431
2131,42.2832142,-71.1270268
2132,42.2797554,-71.1626756
2133,,
2134,42.3593008,-71.1270268
2135,42.3463503,-71.1626756
2136,42.2527785,-71.1299976
2137,,
2138,42.3803274,-71.1389101
2139,42.3647559,-71.1032591
2143,42.3808757,-71.1002881
2144,42.3991718,-71.1240559
2145,42.3930959,-71.0884036
2146,,
2148,42.4326041,-71.0557196
2149,42.4041313,-71.0557196
2150,42.4000656,-71.0319478
2151,42.4224283,-70.9962875
2152,42.3737714,-70.9754842
2155,42.4274971,-71.1092012
2159,,
2163,42.3663518,-71.1195995
2164,,
2167,,
2169,42.2513682,-70.9962875
2170,42.265811,-71.0111463
2171,42.2991086,-71.0111463
2172,,
2176,42.4573354,-71.0616623
2178,,
2180,42.4766331,-71.0913748
2184,42.2020445,-71.014118
2186,42.233283,-71.0854325
2188,42.2071619,-70.9606241
2189,42.210555,-70.9249578
2192,,
2199,42.3464868,-71.0832041
2201,,
2203,42.3604802,-71.0590624
2210,42.3517272,-71.0408624
2215,42.3476181,-71.1002881
2368,42.1911136,-71.0616623
2420,42.4609077,-71.2220832
2445,42.3328027,-71.1389101
2446,42.3421605,-71.1240559
2454,,
2458,42.3503838,-71.1864397
2459,42.3028239,-71.1864397
2461,42.3134848,-71.2072321
2464,42.3121798,-71.2205981
2467,42.3178198,-71.1626756
2472,42.3653524,-71.1843543
2474,42.4232158,-71.1537637
2492,42.2748016,-71.2458436
2601,41.6567207,-70.3003572
2717,41.7538324,-70.9665682
